ip	finger	hash	name	race	background	date	class	justClass	subclass	level	feats	HP	AC	Str	Dex	Con	Int	Wis	Cha	alignment	skills	weapons	spells	castingStat	choices	country	countryCode	processedAlignment	good	lawful	processedRace	processedSpells	processedWeapons	alias
7e82859	02c88c5	081d06bb904ae37f19fcfeecb9fad3f1	f1e912c6	Lineage - Baal	Sage	2020-01-18T00:53:33Z	Wizard 7	Wizard	School of Transmutation	7	Observant	44	15	10	15	15	20	12	20		Arcana|History|Investigation|Insight|Perception	staff|Dagger|Sword Of The War Mage|Auto Loading Sci	Thaumaturgy*0|Fire Bolt*0|Light*0|Mending*0|Ray Of Sickness 1/D*0|Prestidigitation *0|Crown Of Madness 1/D*0|Message*0|Witch Bolt*1|Mage Armor*1|Identify*1|Shield*1|Thunderwave*1|Magic Missile*1|Detect Magic*1|Find Familiar*1|Feather Fall*1|Chromatic Orb*1|Alarm*1|Sleep*1|Unseen Servent*1|Blindness/Deafness*2|Hold Person*2|Levitate*2|Scorching Ray*2|Alter Self*2|Invisibility*2|Knock*2|Melf's Acid Arrow*2|Misty Step*2|Nystul's Magic Aura*2|Fireball*3|Leomonds Tiny Hut*3|Counter Spell*3|Fly*3|Sending*3|Dispell Magic*3|Arcane Eye*4	Int		Australia	AU		NA	NA	Tiefling	Thaumaturgy*0|Fire Bolt*0|Light*0|Mending*0|*|Prestidigitation*0|*|Message*0|Witch Bolt*1|Mage Armor*1|Identify*1|Shield*1|Thunderwave*1|Magic Missile*1|Detect Magic*1|Find Familiar*1|Feather Fall*1|Chromatic Orb*1|Alarm*1|Sleep*1|Unseen Servant*1|Blindness/Deafness*2|Hold Person*2|Levitate*2|Scorching Ray*2|Alter Self*2|Invisibility*2|Knock*2|Melf's Acid Arrow*2|Misty Step*2|Nystul's Magic Aura*2|Fireball*3|Leomund's Tiny Hut*3|Counterspell*3|Fly*3|Sending*3|Dispel Magic*3|Arcane Eye*4	|Dagger||	musing_antonelli
2757fb3	8e11ac4	09ced3698672009ff18ddcfd4264483a	62fc0be1	Half-Elf	Sage	2020-01-02T23:13:58Z	Bard 7	Bard	College of Lore	7		45	14	12	14	12	14	14	18		Acrobatics|Stealth|Arcana|History|Investigation|Insight|Perception|Survival|Performance|Persuasion	Rapier|Dagger|Longbow +1		Cha	expertise/Perception*Investigation	NA	NA		NA	NA	Half-Elf		Rapier|Dagger|Longbow	admiring_chatterjee
5b1f42f	1de8e1d	7dca6a207f3a7d7539c6ce09438d132d	224c90c4	Firbolg	Outlander	2019-12-22T04:16:10Z	Druid 7	Druid	Circle of Dreams	7		45	16	16	15	12	12	15	7	Neutral Good	Athletics|Nature|Medicine|Survival	Flaming Scimitar|Sling|Seekers' Warhammer		Wis		NA	NA	NG	NA	NA	Firbolg		Scimitar|Sling|Warhammer	optimistic_franklin
5b1f42f	1de8e1d	12a8061f3c81595a9a34e6cb14e5b13a	c961baeb	Half-Elf	Acolyte	2019-12-22T04:14:48Z	Paladin 7	Paladin	Oath of Devotion	7	Sentinel	62	22	23	12	15	12	14	17	Lawful Good	Athletics|Religion|Insight|Medicine|Perception	Javelin|Mace Of Radiance	Protection from Evil and Good*1|Sanctuary*1|Lesser Restoration*2|Zone of Truth*2	Cha	fighting style/Defense	NA	NA	LG	NA	NA	Half-Elf	Protection from Evil and Good*1|Sanctuary*1|Lesser Restoration*2|Zone of Truth*2	Javelin|Mace	goofy_chatelet
cf6181d	22c0f3f	9b191609e28ca0650ac7b64f1895438d	2ac79a19	Mountain Dwarf	City Watch	2019-12-13T22:15:36Z	Fighter 7	Fighter	Eldritch Knight	7	Heavy Armor Master	67	18	20	10	16	14	10	8		Athletics|Animal Handling|Insight|Perception	Handaxe|Javelin		Int	fighting style/Close Quarters Shooter	United Kingdom	GB		NA	NA	Dwarf		Handaxe|Javelin	focused_beaver
3fe47bb	c58f44f	7acc15bcf4bd44116c59af025188913a	9a91fb37	Half-Orc	Acolyte	2019-12-09T17:05:30Z	Wizard 7	Wizard	School of Enchantment	7	Prodigy	50	11	11	13	14	12	16	17		Arcana|History|Religion|Insight|Deception|Intimidation	Dagger		Int	expertise/Deception	United States	US		NA	NA	Half-Orc		Dagger	cool_meitner
8776452	9a1bcfc	608517bb0e34824eac26c5205d4597e6	cd375d56	Dark Elf	Outlander	2019-12-08T22:51:34Z	Fighter 7	Fighter	Battle Master	7		98	18	20	12	18	11	14	12		Athletics|Acrobatics|Insight|Perception|Survival	Ebonklinge		Int	combat superiority maneuvers/Trip Attack*Riposte*Disarming Attack*Sweeping Attack*Precision Attack|fighting style/Dueling	United States	US		NA	NA	Elf			practical_einstein
8776452	9a1bcfc	a198e8020e4c7fcbc2351be21bdd7ca0	3f347988	Deep Gnome	Hermit	2019-11-24T22:31:27Z	Wizard 7	Wizard	School of Conjuration	7		53	10	10	11	16	18	11	10		Arcana|History|Religion|Medicine	Quarterstaff		Int		United States	US		NA	NA	Gnome		Quarterstaff	loving_tereshkova
7aa3e10	f3c67ef	f0b60685a88043e9e96f0201d026fefb	72609ea3	Firbolg	Hermit	2019-11-19T23:42:56Z	Ranger 7	Ranger	Hunter	7	Tough	70	17	16	14	14	8	12	10		Athletics|Nature|Religion|Medicine|Survival	Greatclub|Handaxe|Longbow		Wis	fighting style/Defense	NA	NA		NA	NA	Firbolg		Greatclub|Handaxe|Longbow	wizardly_chebyshev
4138f9c	534d04f	05e4be61911f306115e7f387575185ea	e1149872	Goliath	Soldier	2019-11-19T22:06:21Z	Fighter 7	Fighter	Champion	7	Great Weapon Master	74	16	20	13	18	11	12	12		Athletics|Acrobatics|Insight|Intimidation	Crossbow, light		Int	fighting style/Great Weapon Fighting	NA	NA		NA	NA	Goliath		Crossbow, Light	angry_zhukovsky
6518646	6a50511	5bd4e7d28cd93a9f315b5cd30c2b968a	4945bca2	High Elf	Sage	2019-11-13T18:03:39Z	Wizard 7	Wizard	School of Transmutation	7		44	13	8	16	15	16	12	10		Arcana|History|Investigation|Insight|Perception	Dagger	Fire Bolt*0|Mage Hand*0|Prestidigitation*0|Gust*0|Friends*0|Mage armor*1|Detect Magic*1|Charm Person*1|Magic Missile*1|Dragon's Breath*2|Suggestion*2|Enlarge/Reduce*2|Counterspell*3|Erupting Earth*3|Fireball*3	Int		NA	NA		NA	NA	Elf	Fire Bolt*0|Mage Hand*0|Prestidigitation*0|Gust*0|Friends*0|Mage Armor*1|Detect Magic*1|Charm Person*1|Magic Missile*1|Dragon's Breath*2|Suggestion*2|Enlarge/Reduce*2|Counterspell*3|Erupting Earth*3|Fireball*3	Dagger	elastic_faraday
87c20d4	a350671	b4e7d3ba874c75eaf3e10577f1f466b7	33eb225e	Animal Hybrid	Fisher	2019-11-08T19:38:52Z	Fighter 7	Fighter	Arcane Archer	7		67	16	10	20	16	10	8	14		Athletics|History|Nature|Animal Handling|Survival	Longbow|Whip|Pike|Crossbow, light		Int	fighting style/Archery|arcane shot options/Seeking Arrow*Piercing Arrow*Bursting Arrow|animal enhancement/Nimble Climber	NA	NA		NA	NA	Simic hybrid		Longbow|Whip|Pike|Crossbow, Light	determined_torvalds
6e6da11	1e2a529	8c58fde589d395989650e2d2bdb30b88	65e9ea5b	Human	Folk Hero	2019-11-08T19:22:06Z	Monk 7	Monk	Way of the Open Hand	7	Mobile	59	19	13	20	16	14	18	11		Acrobatics|Stealth|Animal Handling|Insight|Survival	Quarterstaff|Dart|Unarmed strike		Wis		India	IN		NA	NA	Human		Quarterstaff|Dart|Unarmed Strike	tender_pare
	2e9983d	9957dd5d40658f175bdfae206d71e7ae	f51ab6e2	Firbolg	Outlander	2019-10-31T20:55:34Z	Druid 7	Druid	Circle of the Moon	7		27	11	14	9	15	15	20	14	Neutral Good	Athletics|Animal Handling|Insight|Survival	Sling|Quarterstaff|Dagger		Wis		Canada	CA	NG	NA	NA	Firbolg		Sling|Quarterstaff|Dagger	cranky_easley
4801eeb	a62f299	2f7333ef162e9328b88bfd612e81d78c	ae73024b	Human	Soldado	2019-10-25T00:58:13Z	Blood Hunter 7	Blood Hunter	Order of the Ghostslayer	7	Dual Wielder	69	17	12	18	14	8	14	10		Athletics|Acrobatics|Investigation|Insight|Survival|Intimidation	Ballesta Ligera|Cimitarra|Espada Corta|Desarmado		Int	blood curses/Eyeless*Mutual Suffering|fighting style/Two-Weapon Fighting|primal rites/Rite of the Frozen*Rite of the Storm	Chile	CL		NA	NA	Human		|||	admiring_jones
4801eeb	a62f299	22f2de02831796b1d694a6f721888f20	38b18982	Kenku	Sailor	2019-10-25T00:55:02Z	Monk 7	Monk	Way of the Kensei	7		49	17	12	18	13	8	16	10	neutral good	Athletics|Acrobatics|Stealth|History|Insight|Perception	Espada Corta|Dardo|Desarmado		Int		Chile	CL	NG	NA	NA	Kenku		|Dart|	heuristic_almeida
4801eeb	a62f299	639b035f59e3955b232f07d0a9f44bbc	24201c44	Tiefling	Agente de Facción	2019-10-25T00:36:22Z	Sorcerer 7	Sorcerer	Draconic Bloodline	7		52	16	8	14	14	13	10	18	Neutral verdadero	Insight|Perception|Deception|Persuasion	Ballesta Ligera|Daga|Honda|Desarmado	Fire Bolt*0|Thunderclap*0|Create Bonfire*0|Message*0|Frostbite*0|Thaumaturgy (Tiefling)*0|Shield*1|Hellish Rebuke (Tiefling)*1|Scorching Ray*2|Mirror Image*2|Pyrotechnics*2|Darkness (Tiefling)*2|Fire Ball*3|Melf's Minute Meteor*3|Burning Hands*3|Polymorph*4	Cha	metamagic/Quickened Spell*Empowered Spell	Chile	CL	NN	NA	NA	Tiefling	Fire Bolt*0|Thunderclap*0|Create Bonfire*0|Message*0|Frostbite*0|Thaumaturgy*0|Shield*1|Hellish Rebuke*1|Scorching Ray*2|Mirror Image*2|Pyrotechnics*2|Darkness*2|Fireball*3|Melf's Minute Meteors*3|*|Polymorph*4	|||	hopeful_yalow
4801eeb	a62f299	2ed031f2086076006a454a60be6b5479	c28264af	Dark Elf	Animador	2019-10-25T00:28:24Z	Bard 7	Bard	College of Lore	7		50	14	8	16	13	12	10	18	Caotico Neutral	Acrobatics|Sleight of Hand|Stealth|Arcana|Investigation|Perception|Deception|Performance|Persuasion	Estilete de Advertencia|Daga|Ballesta Ligera|Desarmado	Vicious Mockery*0|Minor Illusion*0|Friends*0|Dancing Lights (Drow)*0|Mend(bardo)*0|Dissonant Whispers*1|Faerie Fire*1|Tasha's Hideous Laughter*1|Cure Wounds*1|Faerie Fire (Drow, 1/Dia)*1|Heat Metal*2|Phantasmal Force*2|Darkness (Drow, 1/Dia)*2|Bestow Curse*3|Enemies Abound*3|Hypnotic Pattern*3|Hunger Of Hadar (Bardo)*3|Greater Invisibility*4	Cha	expertise/Perception*Acrobatics	Chile	CL	CN	NA	NA	Elf	Vicious Mockery*0|Minor Illusion*0|Friends*0|Dancing Lights*0|Mending*0|Dissonant Whispers*1|Faerie Fire*1|Tasha's Hideous Laughter*1|Cure Wounds*1|Faerie Fire*1|Heat Metal*2|Phantasmal Force*2|Darkness*2|Bestow Curse*3|Enemies Abound*3|Hypnotic Pattern*3|Hunger of Hadar*3|Greater Invisibility*4	|||	happy_germain
4801eeb	a62f299	d4642272c6360b26ff65e5040cee6438	dafbad67	High Elf	Far Traveler	2019-10-25T00:24:11Z	Wizard 7	Wizard	School of Necromancy	7		39	13	10	16	13	18	12	8	neutral evil	Arcana|Insight|Perception	Vara|Ballesta Ligera|Daga|Desarmado	Firebolt*0|Chill Touch*0|Frostbite*0|Minor Illusion*0|Toll the Dead*0|Magic Missile*1|Mage Armor*1|Burning Hands*1|Shield*1|Detect Magic*1|Tasha's Hideous Laughter*1|Unseen Servant*1|Shatter*2|Hold Person*2|Agannazar's Scorcher*2|Ray of Enfeeblement*2|Suggestion*2|Summon Lesser Demon*3|Fear*3|Lighting Bolt*3|Animate Dead*4	Int		Chile	CL	NE	NA	NA	Elf	Fire Bolt*0|Chill Touch*0|Frostbite*0|Minor Illusion*0|Toll the Dead*0|Magic Missile*1|Mage Armor*1|Burning Hands*1|Shield*1|Detect Magic*1|Tasha's Hideous Laughter*1|Unseen Servant*1|Shatter*2|Hold Person*2|Aganazzar's Scorcher*2|Ray of Enfeeblement*2|Suggestion*2|Summon Lesser Demons*3|Fear*3|Lightning Bolt*3|*	|||	heuristic_kepler
4801eeb	a62f299	dd4dd641baec462a39f5f79b3a0bddb5	d68ffe87	Medio Orco	Criminal	2019-10-25T00:23:50Z	Barbarian 7	Barbarian	Path of the Berserker	7		85	16	18	13	16	8	12	10	caotico maligno	Athletics|Stealth|Perception|Deception|Intimidation	Gran Hacha+1|Hacha De Mano|Javalinas|Desarmado		Int		Chile	CL	CE	NA	NA	Orc		|||	wonderful_chandrasekhar
	23f9d08	5d1a9cb1dcda410bf1715ff68d182365	49840177	Human	Outlander	2019-10-21T14:20:46Z	Druid 7	Druid	Circle of Dreams	7	Healer	27	13	8	16	16	12	16	18	CG	Athletics|Sleight of Hand|Arcana|Nature|Animal Handling|Survival	Rapier|Dagger|Thrown Dagger	Produce Flame*0|Frost Bite*0|Burning Hands*1|Absorb Elements*1|Speak With Animals*1	Cha		Canada	CA	CG	NA	NA	Human	Produce Flame*0|Frostbite*0|Burning Hands*1|Absorb Elements*1|Speak with Animals*1	Rapier|Dagger|Dagger	charming_villani
19e644d	dd9bf18	f77c76eece033b129523fa45d3809e3b	5d2892b0	Human	Acolyte	2019-10-20T03:03:17Z	Cleric 7	Cleric	Tempest Domain	7	Spell Sniper|War Caster	56	16	15	11	16	13	17	13		History|Religion|Insight|Medicine|Persuasion	Mace|Crossbow, light	Fog Cloud*1|Thunderwave*1|Gust of Wind*2|Shatter*2|Call Lightning*3|Sleet Storm*3|Control Water*4|Ice Storm*4	Wis		United States	US		NA	NA	Human	Fog Cloud*1|Thunderwave*1|Gust of Wind*2|Shatter*2|Call Lightning*3|Sleet Storm*3|Control Water*4|Ice Storm*4	Mace|Crossbow, Light	condescending_neumann
f5dbe10	ee6a245	2f80348940518d053ab2b4b0bcb209a1	1b906369	Dark Elf	Inheritor	2019-10-13T19:37:01Z	Monk 7	Monk	Way of the Long Death	7		45	19	8	18	13	11	16	10	Lawful Good	Acrobatics|Stealth|History|Perception|Survival	Shortsword|Dart|Unarmed strike		Int		NA	NA	LG	NA	NA	Elf		Shortsword|Dart|Unarmed Strike	trusting_franklin
688b5e2	cf3635a	32cf055e0d19d13f11f1afbec9d99bef	b26356a7	High Elf	Criminal	2019-10-11T02:55:02Z	Rogue 7	Rogue	Assassin	7		52	17	14	20	14	10	11	10		Athletics|Acrobatics|Sleight of Hand|Stealth|Perception|Deception	Rapier|Dagger|Longbow	Message*0	Int	expertise/Stealth*Acrobatics*Perception*Deception	NA	NA		NA	NA	Elf	Message*0	Rapier|Dagger|Longbow	relaxed_bell
fcaaf01	5afea57	f8495a49ee956816456040c2de1675da	ccad63d9	Dragonborn	Folk Hero	2019-10-06T18:03:14Z	Fighter 7	Fighter	Battle Master	7	Martial Adept	73	16	20	15	13	10	13	15	cn	Animal Handling|Perception|Survival|Intimidation	Shortsword|Crossbow, hand|Greatsword Silvered		Int	combat superiority maneuvers/Trip Attack*Riposte*Precision Attack*Menacing Attack*Commander’s Strike*Sweeping Attack*Disarming Attack|fighting style/Great Weapon Fighting	NA	NA	CN	NA	NA	Dragonborn		Shortsword|Crossbow, hand|Greatsword	ecstatic_darwin
61b218f	f59c0da	dffa0f5e9dcb6a2a41c77feb0fe31903	44c76c55	Deep Gnome	Sage	2019-09-18T00:32:52Z	Wizard 7	Wizard	War Magic	7		37	17	8	16	12	18	13	10	Chaotic Good	Arcana|History|Investigation|Insight	Quarterstaff|Magical Dagger	Toll the Dead*0|Shocking Grasp*0|Fire Bolt*0|Absorb Elements*1|Mage Armor*1|Shield*1|Feather Fall*1|Sleep*1|Magic Missile*1|Tensers Floating Disc*1|Detect Magic*1|Identify*1|Dragon's Breath*2|Snilloc's Snowball Swarm*2|Mind Spike*2|Shatter*2|Misty Step*2|Fireball*3|Catnap*3|Counterspell*3|Leomunds Tiny Hut (Ritual)*3	Int		United States	US	CG	NA	NA	Gnome	Toll the Dead*0|Shocking Grasp*0|Fire Bolt*0|Absorb Elements*1|Mage Armor*1|Shield*1|Feather Fall*1|Sleep*1|Magic Missile*1|Tenser's Floating Disk*1|Detect Magic*1|Identify*1|Dragon's Breath*2|Snilloc's Snowball Swarm*2|Mind Spike*2|Shatter*2|Misty Step*2|Fireball*3|Catnap*3|Counterspell*3|Leomund's Tiny Hut*3	Quarterstaff|Dagger	distracted_engelbart
5167061	95edd44	e09d94732c027bc9ccd012a52a5856d0	e2d76294	Bugbear	Urban Bounty Hunter	2019-09-15T13:25:17Z	Fighter 7	Fighter	Samurai	7	Great Weapon Master|Polearm Master	64	18	17	13	13	7	11	13	Chaotic Neutral	Athletics|Stealth|Animal Handling|Insight|Perception|Deception	Handaxe|+1 Glaive|Knuckles Of Knock|Flame Scimitar|Shortbow|Crossbow, hand		Cha	fighting style/Great Weapon Fighting	United States	US	CN	NA	NA	Bugbear		Handaxe|Glaive||Scimitar|Shortbow|Crossbow, hand	laughing_poincare
	5957c30	59820d17c69804e08996b32ee1124b68	482c0d92	Ghastly Halfling	Far Traveler	2019-09-14T17:04:51Z	Druid 7	Druid	Circle of the Moon	7	Lucky	59	17	10	18	16	14	18	12		Nature|Animal Handling|Insight|Perception	Quarterstaff		Wis		Canada	CA		NA	NA	Halfling		Quarterstaff	practical_ramanujan
	5957c30	b12f1b145c2ebc5863381c0b09f0fb02	aed4a800	Human	Criminal	2019-09-14T03:17:53Z	Rogue 7	Rogue	Assassin	7	Alert	52	15	10	18	14	10	15	16		Acrobatics|Sleight of Hand|Stealth|Perception|Deception|Intimidation	Rapier|Shortbow|Dagger|Magic Longbow		Int	expertise/Stealth*Deception*Sleight of Hand*Perception	Canada	CA		NA	NA	Human		Rapier|Shortbow|Dagger|Longbow	sweet_lewin
31f4526	8aa7c69	7ab6e96fbbb19ab839d908ae4de0edd1	0380f106	Mountain Dwarf	Soldier	2019-09-12T19:09:56Z	Fighter 7	Fighter	Champion	7		97	19	17	8	20	10	13	12	Lawful Neutral	Athletics|Insight|Perception|Intimidation	Handaxe|War pick		Int	fighting style/Defense	Mexico	MX	LN	NA	NA	Dwarf		Handaxe|War pick	pensive_beaver
31f4526	8aa7c69	7be8b56cbcddda2909abd2d053f6732f	d24d3a29	High Elf	Cloistered Scholar	2019-09-12T19:09:38Z	Druid 7	Druid	Circle of the Land	7		57	16	8	16	13	11	17	12		Arcana|History|Nature|Medicine|Perception		Guidance*0|Produce Flame*0|Create Bonfire*0|Spider Climb*2|Spike Growth*2|Lightning Bolt*3|Meld into Stone*3|Stone Shape*4|Stoneskin*4	Wis		Mexico	MX		NA	NA	Elf	Guidance*0|Produce Flame*0|Create Bonfire*0|Spider Climb*2|Spike Growth*2|Lightning Bolt*3|Meld Into Stone*3|Stone Shape*4|Stoneskin*4		angry_hugle
26b25df	4841796	10a85836f83b717ab5cb0d7b944791dd	dec5cfe8	Turtle	Outlander	2019-09-07T16:34:10Z	Monk 7	Monk	Way of the Drunken Master	7	Mobile	38	20	14	14	10	10	16	10		Athletics|Acrobatics|Stealth|Survival|Performance	Quarterstaff|Dart|Unarmed Strike		Int		Canada	CA		NA	NA	Turtle		Quarterstaff|Dart|Unarmed Strike	distracted_buck
af17e05	89b4c50	3936388005d405eafe5ea854f8aaf767	d261aadf	Centaur	Cloistered Scholar	2019-09-06T05:29:05Z	Cleric 7	Cleric	Life Domain	7		38	18	13	13	11	18	16	14		History|Religion|Insight|Medicine|Persuasion	Mace|Quarterstaff	Bless*1|Cure Wounds*1|Lesser Restoration*2|Spiritual Weapon*2|Beacon of Hope*3|Revivify*3|Death Ward*4|Guardian of Faith*4	Wis		NA	NA		NA	NA	Centaur	Bless*1|Cure Wounds*1|Lesser Restoration*2|Spiritual Weapon*2|Beacon of Hope*3|Revivify*3|Death Ward*4|Guardian of Faith*4	Mace|Quarterstaff	angry_lichterman
0786de1	608d788	f14fba859507d1c12a9848569f3edcf6	fb83dded	Wood Elf	Folk Hero	2019-09-05T01:55:46Z	Rogue 7	Rogue	Thief	7	Magic Initiate	52	15	11	19	14	13	11	12		Athletics|Sleight of Hand|Stealth|Investigation|Animal Handling|Perception|Survival	Rapier|Shortbow|Dagger	Message*0|Mage Hand*0|Find Familiar*1	Int	expertise/Thieves' Tools*Stealth*Perception*Animal Handling	NA	NA		NA	NA	Elf	Message*0|Mage Hand*0|Find Familiar*1	Rapier|Shortbow|Dagger	naughty_hamilton
22be165	ab31b49	1f88ea84e87e7f5a7c2981766f597d5b	b391f6ba	Human	City Watch	2019-08-25T06:22:39Z	Fighter 7	Fighter	Battle Master	7	Shield Master	67	18	18	16	16	6	12	12		Athletics|Insight|Perception|Intimidation	Crossbow, light|Longsword|Dagger		Int	fighting style/Dueling|combat superiority maneuvers/Riposte*Distracting Strike*Commander’s Strike*Maneuvering Attack*Goading Attack	NA	NA		NA	NA	Human		Crossbow, Light|Longsword|Dagger	sweet_swanson
53b3039	a647bbd	ed2b8640bfcd18548dd87549332cbb31	75085474	Tabaxi	Haunted One	2019-08-22T12:32:17Z	Fighter 7	Fighter	Samurai	7	Savage Attacker|Heavy Armor Master	67	16	15	13	16	12	12	12		Athletics|Acrobatics|Stealth|Investigation|Insight|Perception|Survival	Greatsword|Crossbow, light		Int	fighting style/Great Weapon Fighting	United States	US		NA	NA	Tabaxi		Greatsword|Crossbow, Light	charming_kalam
082307a	a26756f	903b1140e89fce1965ab115dd3596d09	fefd936c	Protector Aasimar	Custom	2019-08-20T15:53:34Z	Cleric 7	Cleric	Life Domain	7	Lucky	57	18	10	14	14	10	16	10		Insight|Medicine|Perception|Survival	Mace|Quarterstaff	Bless*1|Cure Wounds*1|Lesser Restoration*2|Spiritual Weapon*2|Beacon of Hope*3|Revivify*3|Death Ward*4|Guardian of Faith*4	Wis		United States	US		NA	NA	Aasimar	Bless*1|Cure Wounds*1|Lesser Restoration*2|Spiritual Weapon*2|Beacon of Hope*3|Revivify*3|Death Ward*4|Guardian of Faith*4	Mace|Quarterstaff	serene_albattani
	c09ad54	853fd73f53b6bc67da48f16508ce9b8a	aef098c1	Minotaur	Outlander	2019-08-19T22:40:44Z	Fighter 7	Fighter	Champion	7	Dual Wielder	74	17	21	14	18	10	10	8		Athletics|Acrobatics|Perception|Survival|Persuasion	Battleaxe|Battleaxe|Handaxe|Horns		Int	fighting style/Two-Weapon Fighting	Canada	CA		NA	NA	Minotaur		Battleaxe|Battleaxe|Handaxe|	nervous_allen
	c09ad54	4bf34f9448b8863a1ea31b04b1eb1850	cffbff36	Human	Soldier	2019-08-19T22:33:42Z	Warlock 7	Warlock	The Hexblade	7	Great Weapon Master|Tough	73	16	10	13	16	10	8	16		Athletics|Acrobatics|Arcana|Intimidation|Persuasion	Greatsword	Eldritch Blast*0|Sword Burst*0|Armor of Agathys*1|Branding Smite*2|Enhance Ability*2|Elemental Weapon*3|Fly*3|Staggering Smite*4	Cha	pact boon/Pact of the Blade|eldritch invocations/Mask of Many Faces*Agonizing Blast*Improved Pact Weapon*Thirsting Blade	Canada	CA		NA	NA	Human	Eldritch Blast*0|Sword Burst*0|Armor of Agathys*1|Branding Smite*2|Enhance Ability*2|Elemental Weapon*3|Fly*3|Staggering Smite*4	Greatsword	ecstatic_blackwell
a6d981f	1275e22	70abb67efa9daa0ae3ebe805839f7c49	09d73dfb	High Elf	Sage	2019-08-15T01:00:19Z	Wizard 7	Wizard	School of Divination	7		37	13	8	16	13	18	12	10	LN	Arcana|History|Investigation|Insight|Perception	Dagger	Minor Illusion*0|Prestidigitation*0|Create Bonfire*0|Mage Hand*0|Firebolt*0|Mage Armor*1|Shield*1|Find Familiar (R)*1|Fog Cloud*1|Detect Magic (R)*1|Magic Missile*1|Unseen Servant (R)*1|Grease*1|Sleep*1|Comprehend Languages (R)*1|Identify*1|Pyrotechnics*2|Flaming Sphere*2|Invisibility*2|Misty Step*2|Mirror Image*2|Hold Person*2|Suggestion*2|Phantasmal Force*2|Detect Thoughts*2|Locate Object*2|See Invisibility*2|Web*2|Earthbind*2|Snow Swarm*2|Counterspell*3|Dispell Magic*3|Fireball*3|Hypnotic Pattern*3|Leomunds Tiny Hut*3|Fly*3|Blink*3|Fear*3|Clairvoyance*3|Tongues *3|Remove Curse*3|Polymorph*4|Watery Sphere*4	Int		United States	US	LN	NA	NA	Elf	Minor Illusion*0|Prestidigitation*0|Create Bonfire*0|Mage Hand*0|Fire Bolt*0|Mage Armor*1|Shield*1|Find Familiar*1|Fog Cloud*1|Detect Magic*1|Magic Missile*1|Unseen Servant*1|Grease*1|Sleep*1|Comprehend Languages*1|Identify*1|Pyrotechnics*2|Flaming Sphere*2|Invisibility*2|Misty Step*2|Mirror Image*2|Hold Person*2|Suggestion*2|Phantasmal Force*2|Detect Thoughts*2|Locate Object*2|See Invisibility*2|Web*2|Earthbind*2|*|Counterspell*3|Dispel Magic*3|Fireball*3|Hypnotic Pattern*3|Leomund's Tiny Hut*3|Fly*3|Blink*3|Fear*3|Clairvoyance*3|Tongues*3|Remove Curse*3|Polymorph*4|Watery Sphere*4	Dagger	focused_turing
9244c61	fb55d41	092eb7f53732bc7b35dbc4f99f91e74a	82a4e6de	Dragonborn	Urban Bounty Hunter	2019-08-11T09:43:52Z	Fighter 7	Fighter	Eldritch Knight	7	Lucky	75	19	18	16	14	11	11	16		Perception|Deception|Intimidation|Persuasion	Longsword|Rapier|Handaxe	Booming Blade*0|Fire Bolt*0|Shield*1|Burning Hands*1|Tasha's Hideous Laughter*1|Suggestion*2|Hold Person*2	Int	fighting style/Two-Weapon Fighting	United States	US		NA	NA	Dragonborn	Booming Blade*0|Fire Bolt*0|Shield*1|Burning Hands*1|Tasha's Hideous Laughter*1|Suggestion*2|Hold Person*2	Longsword|Rapier|Handaxe	brave_murdock
8261cfd		21057b60f2f7b4386242fed296fba878	dd4fef29	Centaur	Knight	2019-08-10T03:42:26Z	Fighter 7	Fighter	Cavalier	7	Polearm Master	81	17	19	17	18	10	17	14	CG	Athletics|History|Nature|Animal Handling|Insight|Perception|Persuasion	Longsword|Hoof Attack|Javelin|Halberd|PAM		Int	fighting style/Defense	United States	US	CG	NA	NA	Centaur		Longsword||Javelin|Halberd|	dazzling_bassi
16f7b2e	03041c6	54c6ef7ae5427aad2834240e6f1b4e48	f19065aa	Tiefling	Sage	2019-08-08T22:19:56Z	Warlock 7	Warlock	The Archfey	7	Moderately Armored	50	15	10	16	15	13	15	20	Chaotic Neutral	Arcana|History|Religion|Deception	Quarterstaff|Spear|Dagger	Eldritch Blast*0|Thaumaturgy*0|Prestidigitation*0|Guidance*0|Friends*0|Spare The Dying*0|Hex*1|Hellish Rebuke (1/day)*1|Minor Illusion*1|Faerie Fire*1|Sleep*1|Shatter*2|Hold Person*2|Darkness(1/day)*2| Calm Person*2|Phantasmal Force*2|Dispel Magic*3|Major Image*3|Counterspell*3|Blink*3|Plamt Growth*3|Bestow Curse(1/day)*3|Dominate Beast*4|Greater Invisibility*4|Blight*4	Cha	eldritch invocations/Armor of Shadows*Agonizing Blast*Mask of Many Faces*Sign of Ill Omen|pact boon/Pact of the Tome	NA	NA	CN	NA	NA	Tiefling	Eldritch Blast*0|Thaumaturgy*0|Prestidigitation*0|Guidance*0|Friends*0|Spare the Dying*0|Hex*1|Hellish Rebuke*1|*|Faerie Fire*1|Sleep*1|Shatter*2|Hold Person*2|Darkness*2|*|Phantasmal Force*2|Dispel Magic*3|Major Image*3|Counterspell*3|Blink*3|Plant Growth*3|Bestow Curse*3|Dominate Beast*4|Greater Invisibility*4|Blight*4	Quarterstaff|Spear|Dagger	cool_varahamihira
